ride_date,num_rides,avg_duration_min,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in,day_of_week,month
2013-10-19,29548,15.6,59.4,69.1,54,5.9,0,Saturday,10
2013-10-20,29256,15.9,58.4,64,51.1,10.4,0,Sunday,10
2013-10-21,35012,13.8,59.3,66.9,51.1,7.3,0,Monday,10
2013-10-22,36338,12.6,59.6,68,52,7.6,0,Tuesday,10
2013-10-23,32365,12,52.8,68,50,7.8,0,Wednesday,10
2013-10-24,32251,12.1,48.4,55,43,11.8,0,Thursday,10
2013-10-25,30979,12.5,47.4,55,42.1,13.0,0,Friday,10
2013-10-26,24569,14.6,49.5,55.9,42.1,10.1,0,Saturday,10
2013-10-27,23965,14.7,53,59,43,10.3,0,Sunday,10
2013-10-28,31498,12.8,53,61,44.1,7.7,0,Monday,10
2013-10-29,33414,12.6,50.5,61,44.1,8.0,0,Tuesday,10
2013-10-30,35069,12.2,52.9,60.1,44.1,4.5,0,Wednesday,10
2013-10-31,31444,12.9,59.3,66.9,48,6.2,0,Thursday,10
2013-11-01,30384,13.6,65.9,70,53.1,12.1,0.05,Friday,11
2013-11-02,31013,16.6,61.5,70,55,5.7,0.05,Saturday,11
2013-11-03,20798,13.3,50.9,68,42.1,11.2,0.01,Sunday,11
2013-11-04,27142,12.4,39.5,55.9,34,10.3,0,Monday,11
2013-11-05,31493,12.2,46.8,55,34,6.7,0,Tuesday,11
2013-11-06,34826,13,53.2,61,42.1,5.9,0,Wednesday,11
2013-11-07,25719,11.9,58.3,63,46.9,9.2,0,Thursday,11
2013-11-08,28686,12.6,46,63,41,14.2,0.08,Friday,11
2013-11-09,21734,14.4,44.3,50,39.9,10.3,0,Saturday,11
2013-11-10,19712,13.9,50.1,60.1,39.9,11.0,0,Sunday,11
2013-11-11,27295,12.7,48.6,60.1,44.1,13.6,0,Monday,11
2013-11-12,19925,11.1,43.9,53.1,34,13.4,0.02,Tuesday,11
2013-11-13,23633,11.1,34,52,30,13.4,0.01,Wednesday,11
2013-11-14,27040,13,41,53.1,30,11.6,0,Thursday,11
2013-11-15,29051,12.7,49.1,57,34,6.2,0,Friday,11
2013-11-16,25194,15.3,51.9,59,43,5.5,0.03,Saturday,11
2013-11-17,17995,13.5,52.6,60.8,48.2,4.5,0.02,Sunday,11
2013-11-18,30615,13.2,60.3,64.9,48.9,11.4,0.25,Monday,11
2013-11-19,27417,11.5,48.3,64.9,41,16.8,0.23,Tuesday,11
2013-11-20,26229,11.4,38,51.1,32,9.0,0,Wednesday,11
2013-11-21,28752,11.8,41.6,52,32,6.4,0,Thursday,11
2013-11-22,25448,12.1,52.4,57,36,6.4,0,Friday,11
2013-11-23,18996,14.3,47.4,57,39.9,12.8,0.07,Saturday,11
2013-11-24,9392,11.1,29.4,55,24.1,22.2,0.02,Sunday,11
2013-11-25,19116,11,27.9,35.1,24.1,11.9,0,Monday,11
2013-11-26,14999,13,36,39.9,24.1,7.0,0,Tuesday,11
2013-11-27,7976,11,48,60.1,34,13.7,1.91,Wednesday,11
2013-11-28,5204,13.9,34.1,39.2,30.9,17.9,0.3,Thursday,11
2013-11-29,10127,13.2,34.1,39,30.9,7.2,0,Friday,11
2013-11-30,9863,13.7,31.3,39,25,7.2,0,Saturday,11
2013-12-01,13326,13.6,41.1,48.9,25,3.2,0,Sunday,12
2013-12-02,24576,12.4,44.2,48.9,37,4.5,0,Monday,12
2013-12-03,27431,12.2,44,53.1,37.9,4.0,0,Tuesday,12
2013-12-04,28199,12.3,43.8,53.1,37.9,4.3,0,Wednesday,12
2013-12-05,26988,12.4,48.6,57.9,39,5.3,0.01,Thursday,12
2013-12-06,10736,11.6,50.5,57.9,42.8,7.1,0.05,Friday,12
2013-12-07,15545,12.2,38.2,43,35.6,10.7,0.81,Saturday,12
2013-12-08,10090,12.2,32.1,37.9,28.4,8.7,0.13,Sunday,12
2013-12-09,14824,10.7,34.5,39.2,28.9,10.9,0.19,Monday,12
2013-12-10,12850,11.6,36,39,32,8.5,0.07,Tuesday,12
2013-12-11,18766,12,30.7,39,27,13.2,0.22,Wednesday,12
2013-12-12,17214,11.5,27.6,34,23,12.5,0,Thursday,12
2013-12-13,17888,12.1,28.2,35.1,23,13.0,0,Friday,12
2013-12-14,3701,12.1,28.6,35.1,24.1,12.0,0,Saturday,12
2013-12-15,7462,15.2,33.7,39,24.1,14.2,1.21,Sunday,12
2013-12-16,15562,11.2,31,39,26.1,12.0,0.77,Monday,12
2013-12-17,7863,12.2,27.2,34,24.1,7.3,0,Tuesday,12
2013-12-18,14924,11.5,28.6,37,24.1,9.4,0.16,Wednesday,12
2013-12-19,18766,11.2,36.6,45,24.1,9.6,0,Thursday,12
2013-12-20,22066,14.1,45.2,52,30.9,5.4,0,Friday,12
2013-12-21,17940,14.5,53.6,60.1,37.9,6.6,0,Saturday,12
2013-12-22,15063,15.1,58.4,69.1,50,9.0,0.01,Sunday,12
2013-12-23,6956,11.9,58.5,69.1,50,6.2,0.09,Monday,12
2013-12-24,11025,12.7,39.2,62.1,34,10.7,0.44,Tuesday,12
2013-12-25,3260,13.8,25.6,42.1,19,10.3,0,Wednesday,12
2013-12-26,9763,11.9,31.7,36,19,6.2,0,Thursday,12
2013-12-27,11720,12.4,35.6,39.9,30,10.3,0,Friday,12
2013-12-28,12022,16.3,42.4,55,32,9.3,0,Saturday,12
2013-12-29,3775,12.2,45.2,55,36,7.1,0,Sunday,12
2013-12-30,13241,12.3,40.5,48,28.9,11.3,1.2,Monday,12
2013-12-31,10424,13.2,26,44.1,21,9.9,0,Tuesday,12
2014-01-01,6059,15.4,28.9,33.1,21,9.4,0,Wednesday,1
2014-01-02,8600,13,28.9,33.1,25,14.2,0.01,Thursday,1
2014-01-03,1144,13.4,16.6,32,10.9,16.7,0.3,Friday,1
2014-01-04,2292,20.4,15.8,27,9,6.8,0.25,Saturday,1
2014-01-05,2678,13.7,29.1,35.6,26.1,4.8,0,Sunday,1
2014-01-06,9510,12.8,44.7,53.1,25,11.2,0.17,Monday,1
2014-01-07,6267,12.1,14,36,3.9,19.6,0.24,Tuesday,1
2014-01-08,9246,10.2,12.9,21.9,3.9,11.4,0,Wednesday,1
2014-01-09,13354,10.9,25.7,33.1,9,7.0,0,Thursday,1
2014-01-10,9847,11.2,30.2,34,23,4.8,0,Friday,1
2014-01-11,7695,12.4,43.7,55,27,9.2,0.22,Saturday,1
2014-01-12,12515,12.1,47.6,55.9,34,13.6,0.45,Sunday,1
2014-01-13,20633,11.8,41.8,54,35.1,8.9,0.02,Monday,1
2014-01-14,9999,11.1,45.8,50,35.1,6.6,0.02,Tuesday,1
2014-01-15,21630,11.7,42.4,50,36,5.5,0.36,Wednesday,1
2014-01-16,19953,11.4,39.1,41,37,5.9,0,Thursday,1
2014-01-17,20301,12.2,38.3,46,33.1,5.5,0,Friday,1
2014-01-18,9438,14.1,37.5,46,32,7.7,0,Saturday,1
2014-01-19,9028,13.6,29.8,39,25,12.1,0.15,Sunday,1
2014-01-20,13407,13.1,39.6,46,25,11.1,0,Monday,1
2014-01-21,3804,14.3,25.7,46,14,12.5,0,Tuesday,1
2014-01-22,2451,16.6,12.6,32,7,16.6,0.25,Wednesday,1
2014-01-23,5071,15.4,13.5,21,7,11.9,0,Thursday,1
2014-01-24,6176,13,15.7,21,8.1,12.8,0,Friday,1
2014-01-25,4338,11.5,22,27,10.9,12.6,0,Saturday,1
2014-01-26,4980,12,21.9,27,18,12.7,0.02,Sunday,1
2014-01-27,13119,10.5,33.7,44.1,18,9.4,0,Monday,1
2014-01-28,10033,14.2,18.5,28,12.9,11.8,0,Tuesday,1
2014-01-29,10021,11.2,18.2,23,12.9,8.1,0.05,Wednesday,1
2014-01-30,12158,11.2,21.6,28.9,14,7.5,0,Thursday,1
2014-01-31,14653,11.7,30.5,39,18,7.3,0,Friday,1
2014-02-01,12771,13.7,38.2,44.1,26.1,3.2,0,Saturday,2
2014-02-02,13816,13.7,40.3,55,30,3.3,0,Sunday,2
2014-02-03,2600,13.3,35.6,55,30,8.2,0.27,Monday,2
2014-02-04,8709,12.5,29.6,42.1,25,6.2,0.81,Tuesday,2
2014-02-05,2746,15.4,31.5,36,25,9.0,0.74,Wednesday,2
2014-02-06,7196,17.3,28.4,34,21.9,8.6,0.44,Thursday,2
2014-02-07,8495,17.5,28.5,33.1,21.9,8.9,0,Friday,2
2014-02-08,5986,17.4,26.8,33.1,21.9,8.0,0,Saturday,2
2014-02-09,4996,17.1,26.1,28.9,21,6.5,0,Sunday,2
2014-02-10,6846,14.4,25.9,28.9,21,12.4,0.1,Monday,2
2014-02-11,8343,16.5,22.6,28.9,18,11.3,0,Tuesday,2
2014-02-12,8580,14.1,19,26.1,14,9.2,0,Wednesday,2
2014-02-13,876,81.1,28.7,36,14,15.8,0.18,Thursday,2
2014-02-14,3609,28.9,35.4,39.9,24.1,16.4,1.75,Friday,2
2014-02-15,2261,18.4,34.5,39,30.2,9.7,0.25,Saturday,2
2014-02-16,3003,21.3,27.2,37,21.9,14.0,0.05,Sunday,2
2014-02-17,4854,16.1,24.4,33.1,19,11.2,0,Monday,2
2014-02-18,5140,14.6,30.6,39.9,19,7.2,0.05,Tuesday,2
2014-02-19,8506,14.2,36.4,45,25,5.3,0.1,Wednesday,2
2014-02-20,11792,13.6,42.5,50,28,8.1,0.25,Thursday,2
2014-02-21,8680,11.8,37.1,46.9,33.8,8.2,0.02,Friday,2
2014-02-22,13044,16.5,45.5,55,34,9.4,0.11,Saturday,2
2014-02-23,13324,15.6,48,55,37.9,5.2,0,Sunday,2
2014-02-24,12922,12.6,40,54,33.1,13.2,0,Monday,2
2014-02-25,12830,11.4,28.7,44.1,24.1,12.9,0,Tuesday,2
2014-02-26,11188,11.1,28,33.1,24.1,9.2,0,Wednesday,2
2014-02-27,12036,10.5,24.7,33.1,19,9.6,0.01,Thursday,2
2014-02-28,9587,11.1,17.3,33.1,10,13.3,0,Friday,2
2014-03-01,9202,11.9,26.6,37.9,10,5.6,0,Saturday,3
2014-03-02,8195,11.2,36.6,39,21,6.0,0,Sunday,3
2014-03-03,7708,11.5,25.9,39,19.9,10.6,0.01,Monday,3
2014-03-04,10398,10.3,20.3,32,12.9,6.4,0,Tuesday,3
2014-03-05,13801,10.5,30.6,37,12.9,5.1,0,Wednesday,3
2014-03-06,12773,10.2,24.2,37,16,10.2,0,Thursday,3
2014-03-07,13304,11,29.2,36,16,10.2,0,Friday,3
2014-03-08,16350,15.9,41.6,55.9,26.1,7.3,0,Saturday,3
2014-03-09,12262,12.7,41.4,55.9,35.1,11.3,0,Sunday,3
2014-03-10,17231,11.2,41.9,51.1,35.1,8.7,0,Monday,3
2014-03-11,24356,12.9,52.3,64.9,37,7.0,0,Tuesday,3
2014-03-12,15101,11,48.1,64.9,39,7.4,0,Wednesday,3
2014-03-13,10979,10.7,28.8,54,19,20.9,0.35,Thursday,3
2014-03-14,16299,10.9,29.7,44.1,19,12.9,0,Friday,3
2014-03-15,18053,14.8,47.9,57.9,39,11.1,0,Saturday,3
2014-03-16,9851,12.3,37.7,57.9,30,14.2,0,Sunday,3
2014-03-17,12503,10.6,28.3,33.1,23,9.3,0,Monday,3
2014-03-18,16679,11.3,32.1,41,23,9.4,0,Tuesday,3
2014-03-19,13341,10.9,35.8,45,27,9.4,0,Wednesday,3
2014-03-20,19695,12,45.3,53.1,30.9,11.4,0.99,Thursday,3
2014-03-21,20718,12.2,43.7,53.1,39,14.1,0,Friday,3
2014-03-22,19880,16.1,48.4,63,37,9.7,0,Saturday,3
2014-03-23,11740,12.3,41.5,63,35.1,11.0,0,Sunday,3
2014-03-24,13598,10.5,28.1,42.1,21.9,12.8,0,Monday,3
2014-03-25,16037,10.4,31.6,37.9,21.9,7.5,0,Tuesday,3
2014-03-26,14500,10.2,33.4,37.9,26.1,16.8,0,Wednesday,3
2014-03-27,16666,11.4,30.1,42.1,23,12.7,0,Thursday,3
2014-03-28,18425,12.2,44.9,60.1,23,8.1,0,Friday,3
2014-03-29,4480,11.1,48.3,60.1,37.9,6.7,0.03,Saturday,3
2014-03-30,7907,12.8,44.1,55,41,12.4,1.97,Sunday,3
2014-03-31,17085,11.8,42.1,53.1,35.6,15.2,0.29,Monday,3
2014-04-01,23908,12.9,45.9,59,36,8.5,0.02,Tuesday,4
2014-04-02,22515,12,45.6,59,39,5.7,0,Wednesday,4
2014-04-03,26321,12.9,50.7,64,41,3.9,0,Thursday,4
2014-04-04,12566,10.7,44.7,51.1,39.2,9.8,0.09,Friday,4
2014-04-05,18655,15,45.3,54,39,12.8,0.17,Saturday,4
2014-04-06,20750,16.6,44.9,59,37,9.7,0,Sunday,4
2014-04-07,14677,11.3,46.1,59,37,6.9,0,Monday,4
2014-04-08,21884,12.1,51,64.9,41,10.7,0.99,Tuesday,4
2014-04-09,26931,12.8,51.4,64.9,43,13.2,0.01,Wednesday,4
2014-04-10,27463,12.7,49.8,59,42.1,10.4,0,Thursday,4
2014-04-11,26798,13.8,59.2,73.9,42.1,8.8,0,Friday,4
2014-04-12,27108,17.6,58.8,73.9,48.9,6.6,0,Saturday,4
2014-04-13,26871,18.4,59.8,73.9,48.9,8.2,0,Sunday,4
2014-04-14,28832,14.8,61.7,73.9,50,10.5,0,Monday,4
2014-04-15,10523,10.6,56.9,61,44.6,13.7,0.1,Tuesday,4
2014-04-16,20082,11.9,38.9,46.9,32,14.1,0.82,Wednesday,4
2014-04-17,22282,12.4,41.1,46.9,32,11.4,0.05,Thursday,4
2014-04-18,20770,12.4,39.9,46.9,35.1,7.1,0,Friday,4
2014-04-19,24369,18.4,50.6,64.9,35.1,6.8,0,Saturday,4
2014-04-20,18464,16.7,51.6,64.9,42.1,9.2,0,Sunday,4
2014-04-21,27124,13.9,49.9,63,41,5.4,0,Monday,4
2014-04-22,27259,12.7,56.4,66,41,7.7,0,Tuesday,4
2014-04-23,26949,12.4,55.6,66,48,16.0,0,Wednesday,4
2014-04-24,28107,13,49.4,62.1,43,17.9,0,Thursday,4
2014-04-25,27919,13.5,52.3,60.1,43,8.9,0,Friday,4
2014-04-26,19899,16.2,52,64,44.6,8.2,0.7,Saturday,4
2014-04-27,21926,15.8,51.3,64,45,10.8,0.06,Sunday,4
2014-04-28,28557,13.4,53.7,64,46,7.3,0,Monday,4
2014-04-29,18404,11,49.9,64,44.1,13.4,0,Tuesday,4
2014-04-30,2867,9.5,44.5,51.1,42.1,14.1,0.55,Wednesday,4
2014-05-01,26762,14.3,59.3,77,42.1,7.9,4.88,Thursday,5
2014-05-02,32377,14,62.8,77,48.9,7.6,0.01,Friday,5
2014-05-03,25501,18.1,61.7,69.1,54,7.2,0,Saturday,5
2014-05-04,21277,15.4,58.7,69.1,54,12.2,0.03,Sunday,5
2014-05-05,30288,14.4,57.5,66.9,50,15.6,0,Monday,5
2014-05-06,32233,14.3,59.2,68,50,8.6,0,Tuesday,5
2014-05-07,32882,13.3,59,68,51.1,7.0,0,Wednesday,5
2014-05-08,17619,12.2,55.6,68,51.1,6.7,0.32,Thursday,5
2014-05-09,22641,12.3,54.9,63,52,5.5,0.09,Friday,5
2014-05-10,21832,15.4,65.4,82,52,7.1,0.02,Saturday,5
2014-05-11,28326,18.8,69.3,82,55,9.8,0.93,Sunday,5
2014-05-12,31644,14.4,73.2,82,62.1,4.4,0.02,Monday,5
2014-05-13,32847,13.4,65.8,82,59,7.7,0,Tuesday,5
2014-05-14,30044,12.9,56.5,71.1,51.1,7.1,0,Wednesday,5
2014-05-15,26057,13,60.7,75,51.1,8.5,0.14,Thursday,5
2014-05-16,17784,11.7,67.2,75,54,15.9,0.03,Friday,5
2014-05-17,29912,17.7,62.2,71.1,54,9.8,1.58,Saturday,5
2014-05-18,27436,17.1,60.4,70,53.1,7.6,0,Sunday,5
2014-05-19,31692,13.4,60.4,70,53.1,10.5,0,Monday,5
2014-05-20,35567,14.1,65.5,77,53.1,8.9,0,Tuesday,5
2014-05-21,34420,13.4,69.7,77,57,6.7,0,Wednesday,5
2014-05-22,24535,12.2,62.9,75,57.9,6.2,0.27,Thursday,5
2014-05-23,24484,12.9,60.3,68,57,6.0,0.01,Friday,5
2014-05-24,16798,16,60.2,68,57,6.2,1.09,Saturday,5
2014-05-25,25637,20.1,65.5,81,55.9,5.4,0.02,Sunday,5
2014-05-26,26930,19.5,75.2,87.1,55.9,7.2,0,Monday,5
2014-05-27,32936,14.4,79.5,87.1,66,7.6,0,Tuesday,5
2014-05-28,29690,12.5,61.3,86,54,11.7,0,Wednesday,5
2014-05-29,33889,13.3,55.6,63,51.1,9.8,0,Thursday,5
2014-05-30,34343,14.1,63.2,75.9,51.1,4.1,0,Friday,5
2014-05-31,27734,16.7,64,75.9,55.9,10.6,0.03,Saturday,5
2014-06-01,31333,18,65.1,77,57,6.0,0.01,Sunday,6
2014-06-02,34519,14.7,69.7,79,57,9.3,0,Monday,6
2014-06-03,29501,13.4,75.7,84.9,61,7.4,0,Tuesday,6
2014-06-04,36068,13.8,69.5,84.9,62.1,6.8,0.06,Wednesday,6
2014-06-05,24619,13.6,67,81,62.1,7.9,0.4,Thursday,6
2014-06-06,37719,14.5,67.8,75.9,61,11.3,0.3,Friday,6
2014-06-07,31204,17.9,71.5,82,61,6.4,0,Saturday,6
2014-06-08,30162,18.1,76.4,84.9,63,5.5,0,Sunday,6
2014-06-09,18611,12.9,68,84.9,62.1,7.0,0.45,Monday,6
2014-06-10,33435,13.3,66.9,75.2,63,6.5,0.79,Tuesday,6
2014-06-11,30548,13.4,65.6,75,61,9.5,0.04,Wednesday,6
2014-06-12,29084,12.6,63.6,75.9,59,9.0,0.01,Thursday,6
2014-06-13,18308,12.7,65.7,75.9,59,8.4,0.14,Friday,6
2014-06-14,28417,16.8,69.6,75.9,62.1,10.1,1.43,Saturday,6
2014-06-15,28382,17.3,67.6,79,61,10.0,0,Sunday,6
2014-06-16,34932,14.3,72,81,61,5.3,0,Monday,6
2014-06-17,35097,14.1,76.7,88,64,6.7,0,Tuesday,6
2014-06-18,35531,13.6,83.2,88,70,11.2,0,Wednesday,6
2014-06-19,31724,13.7,74.8,88,68,5.4,0,Thursday,6
2014-06-20,34405,16.7,73.3,80.1,66,8.0,0,Friday,6
2014-06-21,30288,17.2,70,75.9,62.1,8.4,0,Saturday,6
2014-06-22,29417,16.6,70.1,77,64,6.4,0,Sunday,6
2014-06-23,32580,13.9,73.2,82,64,6.2,0,Monday,6
2014-06-24,35897,13.7,73.5,82,66.9,10.8,0,Tuesday,6
2014-06-25,34340,13.1,75.4,84,69.1,10.3,0,Wednesday,6
2014-06-26,34846,13.6,77.5,86,71.1,6.3,0.07,Thursday,6
2014-06-27,35823,14.7,74.5,86,68,7.5,0,Friday,6
2014-06-28,28507,16.9,75.6,87.1,68,5.4,0,Saturday,6
2014-06-29,27986,17.3,74.9,87.1,69.1,7.5,0,Sunday,6
2014-06-30,33597,13.8,75.8,84,69.1,9.0,0,Monday,6
2014-07-01,34854,13.2,79,88,69.1,10.2,0,Tuesday,7
2014-07-02,26582,12.6,81.7,91,73,10.1,0,Wednesday,7
2014-07-03,27587,13.3,78.9,91,72,6.3,0.65,Thursday,7
2014-07-04,13612,15.5,71.1,89.1,64.9,8.5,0.71,Friday,7
2014-07-05,22913,18.3,71.8,82.9,64.9,13.7,0.16,Saturday,7
2014-07-06,23822,20.2,78.2,87.1,64.9,9.5,0,Sunday,7
2014-07-07,31863,14,81.3,91.9,69.1,11.4,0,Monday,7
2014-07-08,32713,13.3,83.8,93,72,10.7,0.18,Tuesday,7
2014-07-09,34426,13.3,79.5,93,72,10.2,0,Wednesday,7
